"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-03-15","Millibars","None",24,100.0,1006.970833,1012.9,0,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-03-16","Millibars","None",24,100.0,1004.258333,1006.3,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-03-17","Millibars","None",24,100.0,1005.183333,1007.2,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-03-18","Millibars","None",24,100.0,1001.1625,1004.1,23,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-03-19","Millibars","None",24,100.0,1009.145833,1012.5,23,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-03-20","Millibars","None",24,100.0,1013.525,1016.5,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-03-21","Millibars","None",24,100.0,1010.425,1013.5,8,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-03-22","Millibars","None",24,100.0,1001.458333,1005.8,0,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-03-23","Millibars","None",24,100.0,1000.258333,1004.1,22,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-03-24","Millibars","None",24,100.0,1004.325,1006.9,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
